Codice_Articolo,wine-name,wine-denomination,wine-tasting,wine-pairing,wine-service,wineImageUrl,logoUrl,video-link,music-link,music-desc,music-prompt,music-duration,music-loop,music-status,tech-zone,tech-altitude,tech-soil,tech-aging,tech-alcohol,tech-ph,recipe1-title,recipe1-desc,recipe2-title,recipe2-desc,Link_Google_Form,Link_Privacy_Squillari,Link_Logo_Squillari,_asset_pdf,_asset_status
2111020,Lacrima Morro Alba DOC,Lacrima di Morro d’Alba DOC,"Rosso marchigiano profumato, con richiami di piccoli frutti rossi e note floreali. Al palato è fresco, morbido e piacevolmente aromatico.","Salumi, primi piatti al ragù, carni bianche saporite e formaggi di media stagionatura.",Servire a 14-16°C.,Lacrima.png,,,,Aperitivo Marchigiano,"Brano strumentale fresco e solare per aperitivo marchigiano, chitarra morbida, groove leggero, atmosfera enoteca italiana, nessuna voce, loop perfetto, 35 secondi.",35,TRUE,TO_GENERATE,Marche,,,,,,,,,,,,,scheda lacrima belisario 2024.pdf,READY
2111021,Rosso Conero DOC,Rosso Conero DOC,"Rosso strutturato e territoriale, con profumi di frutta rossa matura, spezie leggere e buona freschezza.","Carni alla griglia, arrosti, primi saporiti e formaggi stagionati.",Servire a 16-18°C.,Rosso Conero.png,,,,Cena Raffinata,"Brano strumentale raffinato per cena elegante, jazz minimale, contrabbasso morbido, piano caldo, atmosfera ristorante/enoteca premium, nessuna voce, loop perfetto, 40 secondi.",35,TRUE,TO_GENERATE,Marche,,,,,,,,,,,,,scheda Rosso Conero belisario 2022.pdf,READY
2111022,Verdicchio di Matelica,Verdicchio di Matelica DOC,"Bianco fresco e minerale, con note di agrumi, fiori bianchi e finale sapido.","Pesce, crostacei, primi piatti delicati, verdure e formaggi freschi.",Servire a 8-10°C.,Valbona Verdicchio.png,,,,Eleganza Minerale,"Brano strumentale elegante e minerale per scheda QR vino Verdicchio di Matelica, atmosfera wine bar premium, piano leggero, texture ambient mediterranee, nessuna voce, loop perfetto, 35 secondi.",35,TRUE,TO_GENERATE,Marche,,,,,,,,,,,,,scheda Valbona 2024.pdf,READY
2111023,Cambrugiano,Verdicchio di Matelica Riserva DOCG,"Bianco importante e complesso, con struttura, freschezza e note evolute. Finale lungo e minerale.","Pesce al forno, carni bianche, primi piatti importanti e formaggi stagionati.",Servire a 10-12°C.,Cambrugiano.png,,,,Cena Raffinata,"Brano strumentale raffinato per cena elegante, jazz minimale, contrabbasso morbido, piano caldo, atmosfera ristorante/enoteca premium, nessuna voce, loop perfetto, 40 secondi.",35,TRUE,TO_GENERATE,Marche,,,,,,,,,,,,,Scheda Cambrugiano 2022.pdf,READY
2111024,Pecorino Impronte,Pecorino IGT,"Bianco fresco e diretto, con profumi agrumati, note floreali e buona sapidità.","Aperitivi, pesce, verdure grigliate, primi piatti leggeri e formaggi freschi.",Servire a 8-10°C.,Pecorino.png,,,,Freschezza Adriatica,"Brano strumentale fresco e marino, mood Adriatico elegante, per scheda QR vino bianco, percussioni leggere, synth morbidi, nessuna voce, loop perfetto, 35 secondi.",35,TRUE,TO_GENERATE,Marche,,,,,,,,,,,,,scheda Pecorino Impronte 2024.pdf,READY
2111025,Passerina Impronte,Passerina IGT,"Bianco agile e piacevole, con note di frutta bianca, agrumi e una freschezza immediata.","Aperitivi, antipasti, insalate di mare, piatti vegetariani e cucina estiva.",Servire a 8-10°C.,Passerina IGT.png,,,,Aperitivo Marchigiano,"Brano strumentale fresco e solare per aperitivo marchigiano, chitarra morbida, groove leggero, atmosfera enoteca italiana, nessuna voce, loop perfetto, 35 secondi.",35,TRUE,TO_GENERATE,Marche,,,,,,,,,,,,,scheda Passerina Impronte 2024.pdf,READY
2111029,Animologico,Verdicchio di Matelica DOC Biologico,"Verdicchio biologico dal profilo fresco, pulito e minerale, con piacevoli note agrumate e floreali.","Pesce, crostacei, formaggi freschi, primi piatti delicati e cucina vegetariana.",Servire a 8-10°C.,AnimoLogico.png,,,,Eleganza Minerale,"Brano strumentale elegante e minerale per scheda QR vino Animologico, atmosfera wine bar premium, piano leggero, texture ambient mediterranee, nessuna voce, loop perfetto, 35 secondi.",35,TRUE,TO_GENERATE,Marche,,,,,,,,,,,,,scheda Animologico Verdicchio di Matelica DOC Biologico 2023.pdf,READY
2111030,Sipuò,"Bianco Italiano 9,5%","Bianco leggero e fresco, pensato per un consumo semplice, moderno e immediato.","Aperitivi, piatti leggeri, insalate, verdure e preparazioni estive.",Servire a 8°C.,Sipuo'.jpg,,,,Aperitivo Marchigiano,"Brano strumentale fresco e solare per aperitivo marchigiano, chitarra morbida, groove leggero, atmosfera enoteca italiana, nessuna voce, loop perfetto, 35 secondi.",35,TRUE,TO_GENERATE,Marche,,,,,,,,,,,,,scheda Sipuò 2024 x agenti.pdf,READY
2111032,Marche Rosato IGT,Marche Rosato IGT,"Rosato marchigiano fresco e gastronomico. Al naso richiama piccoli frutti rossi, agrumi e leggere note floreali. In bocca è equilibrato, scorrevole e pulito.","Antipasti di mare, pesce alla griglia, insalate estive, carni bianche e primi piatti leggeri.",Servire a 8-10°C.,03_belisario_marche_rosato_igt.png,,,,Aperitivo Marchigiano,"Brano strumentale fresco e solare per aperitivo marchigiano, chitarra morbida, groove leggero, atmosfera enoteca italiana, nessuna voce, loop perfetto, 35 secondi.",35,TRUE,TO_GENERATE,Marche,,,,,,,,,,,,,,READY
6601589,Nadir,Spumante Verdicchio Metodo Charmat Extra Brut,"Spumante Extra Brut da Verdicchio prodotto con Metodo Charmat. Profilo fresco, secco e immediato, con perlage fine, note agrumate e finale sapido.","Aperitivi, crudi di mare, fritti leggeri, antipasti di pesce e formaggi freschi.",Servire a 6-8°C in calice da spumante o tulipano.,Nadir Verdicchio di Matelica Doc Extra Brut.jpg,,,,Bollicina Mediterranea,"Brano strumentale brillante per spumante Extra Brut, aperitivo premium mediterraneo, ritmo leggero, piano e percussioni delicate, nessuna voce, loop perfetto, 35 secondi.",35,TRUE,TO_GENERATE,Marche,,,,,,,,,,,,,,READY
